rank,name,accuracy,n_features,status,best_kernel,features,n_samples
435,combo_4feat_048,0.5465909090909091,4,success,rbf,"nn_count, sdsd, rmssd, triangular_index",880
436,combo_4feat_091,0.5465909090909091,4,success,rbf,"nn_mean, nn_min, sdnn, hf_power",880
437,combo_10feat_012,0.5465909090909091,10,success,rbf,"nn_mean, nn_min, nn_max, pnn50, triangular_index, lf_power, lf_hf_ratio, ln_hf, lf_peak, hf_peak",880
438,combo_13feat_014,0.5465909090909091,13,success,rbf,"nn_count, nn_mean, nn_max, sdsd, rmssd, pnn20, triangular_index, lf_power, hf_power, lf_hf_ratio, ln_hf, lf_peak, hf_peak",880
439,combo_7feat_018,0.5454545454545454,7,success,rbf,"nn_count, nn_mean, nn_min, pnn20, pnn50, triangular_index, lf_peak",880
440,combo_13feat_022,0.5454545454545454,13,success,rbf,"nn_count, nn_mean, nn_min, nn_max, sdnn, sdsd, rmssd, pnn20, pnn50, hf_power, lf_norm, lf_peak, hf_peak",880
441,combo_2feat_046,0.5443181818181818,2,success,rbf,"sdnn, hf_power",880
442,combo_9feat_018,0.5431818181818182,9,success,rbf,"nn_count, nn_mean, nn_min, nn_max, lf_power, hf_power, lf_hf_ratio, hf_norm, hf_peak",880
443,combo_13feat_018,0.5431818181818182,13,success,rbf,"nn_mean, nn_min, nn_max, sdnn, pnn20, pnn50, triangular_index, hf_power, lf_hf_ratio, hf_norm, ln_hf, lf_peak, hf_peak",880
444,combo_2feat_005,0.5420454545454546,2,success,rbf,"nn_max, lf_norm",880
445,combo_11feat_005,0.5420454545454546,11,success,rbf,"nn_count, nn_mean, nn_max, rmssd, pnn20, pnn50, triangular_index, hf_norm, ln_hf, lf_peak, hf_peak",880
446,combo_13feat_005,0.5420454545454546,13,success,rbf,"nn_count, nn_mean, nn_max, sdnn, rmssd, triangular_index, lf_power, hf_power, lf_hf_ratio, lf_norm, ln_hf, lf_peak, hf_peak",880
447,combo_3feat_016,0.5420454545454545,3,success,rbf,"nn_max, hf_power, lf_norm",880
448,combo_6feat_010,0.5420454545454545,6,success,rbf,"nn_max, sdnn, rmssd, pnn50, triangular_index, hf_power",880
449,combo_11feat_001,0.5420454545454545,11,success,rbf,"nn_mean, nn_min, nn_max, sdnn, pnn20, pnn50, hf_power, lf_norm, ln_hf, lf_peak, hf_peak",880
450,combo_3feat_038,0.5409090909090909,3,success,rbf,"pnn50, hf_power, ln_hf",880
451,combo_9feat_021,0.5409090909090909,9,success,rbf,"nn_count, nn_min, sdnn, rmssd, pnn20, pnn50, triangular_index, hf_power, hf_peak",880
452,combo_2feat_040,0.5409090909090908,2,success,rbf,"sdsd, pnn50",880
453,combo_7feat_020,0.5409090909090908,7,success,rbf,"nn_count, nn_mean, sdnn, lf_hf_ratio, lf_norm, ln_hf, hf_peak",880
454,combo_2feat_001,0.5397727272727273,2,success,poly,"nn_mean, lf_norm",880
455,combo_2feat_041,0.5397727272727273,2,success,rbf,"nn_min, nn_max",880
456,combo_6feat_019,0.5386363636363636,6,success,rbf,"nn_mean, nn_min, nn_max, lf_power, ln_hf, hf_peak",880
457,combo_4feat_085,0.5375,4,success,rbf,"pnn50, triangular_index, hf_norm, hf_peak",880
458,combo_8feat_019,0.5374999999999999,8,success,rbf,"nn_max, sdsd, rmssd, lf_power, hf_power, lf_hf_ratio, ln_hf, hf_peak",880
459,combo_4feat_094,0.5363636363636364,4,success,rbf,"nn_mean, sdsd, hf_power, ln_hf",880
460,combo_5feat_002,0.5363636363636364,5,success,rbf,"nn_count, nn_mean, pnn20, triangular_index, ln_hf",880
461,combo_8feat_005,0.5363636363636364,8,success,rbf,"nn_count, sdnn, sdsd, rmssd, pnn20, pnn50, ln_hf, lf_peak",880
462,combo_13feat_009,0.5363636363636364,13,success,rbf,"nn_mean, nn_min, nn_max, sdsd, rmssd, pnn20, pnn50, triangular_index, lf_power, hf_power, lf_hf_ratio, lf_peak, hf_peak",880
463,combo_8feat_023,0.5352272727272729,8,success,rbf,"sdsd, rmssd, pnn20, pnn50, lf_hf_ratio, hf_norm, lf_peak, hf_peak",880
464,combo_3feat_014,0.5352272727272728,3,success,rbf,"nn_count, pnn20, lf_peak",880
465,combo_10feat_014,0.5352272727272728,10,success,rbf,"nn_count, nn_mean, nn_min, nn_max, sdsd, pnn50, hf_norm, ln_hf, lf_peak, hf_peak",880
466,combo_4feat_069,0.5352272727272727,4,success,rbf,"nn_count, nn_min, pnn50, lf_peak",880
467,combo_6feat_021,0.5352272727272727,6,success,rbf,"nn_max, sdnn, sdsd, hf_power, lf_hf_ratio, ln_hf",880
468,combo_11feat_003,0.5352272727272727,11,success,rbf,"nn_count, nn_mean, nn_min, nn_max, sdnn, rmssd, pnn20, pnn50, triangular_index, lf_peak, hf_peak",880
469,combo_2feat_035,0.5340909090909092,2,success,rbf,"nn_max, sdnn",880
470,combo_4feat_012,0.5340909090909091,4,success,rbf,"hf_power, lf_hf_ratio, ln_hf, hf_peak",880
471,combo_4feat_079,0.5340909090909091,4,success,rbf,"nn_count, lf_hf_ratio, hf_norm, hf_peak",880
472,combo_5feat_027,0.534090909090909,5,success,rbf,"nn_mean, nn_min, sdnn, ln_hf, hf_peak",880
473,combo_2feat_048,0.5329545454545455,2,success,rbf,"triangular_index, hf_power",880
474,combo_7feat_019,0.5318181818181819,7,success,rbf,"nn_count, nn_mean, nn_min, rmssd, triangular_index, ln_hf, lf_peak",880
475,combo_8feat_015,0.5318181818181819,8,success,rbf,"nn_count, nn_mean, sdnn, pnn50, hf_power, lf_hf_ratio, lf_peak, hf_peak",880
476,combo_10feat_023,0.5318181818181819,10,success,rbf,"nn_max, rmssd, pnn20, pnn50, triangular_index, lf_hf_ratio, lf_norm, ln_hf, lf_peak, hf_peak",880
477,combo_5feat_036,0.5318181818181817,5,success,rbf,"nn_min, nn_max, sdsd, lf_hf_ratio, hf_peak",880
478,combo_5feat_020,0.5306818181818183,5,success,rbf,"sdsd, rmssd, pnn50, ln_hf, lf_peak",880
479,combo_7feat_001,0.5306818181818181,7,success,rbf,"nn_min, nn_max, sdnn, pnn50, hf_power, lf_peak, hf_peak",880
480,combo_7feat_014,0.5306818181818181,7,success,rbf,"nn_mean, sdnn, sdsd, lf_hf_ratio, ln_hf, lf_peak, hf_peak",880
481,combo_3feat_047,0.5295454545454545,3,success,rbf,"nn_max, sdnn, hf_power",880
482,combo_4feat_055,0.5295454545454545,4,success,rbf,"nn_max, rmssd, lf_hf_ratio, ln_hf",880
483,combo_4feat_063,0.5295454545454545,4,success,rbf,"sdsd, hf_power, lf_hf_ratio, lf_peak",880
