subject,sample_idx,true_label,predicted_label,correct,decision_score
esty,28,lie,truth,False,-3.0666459531368013
esty,29,lie,truth,False,-2.8364978509302055
esty,30,lie,truth,False,-1.648719290878259
esty,31,lie,truth,False,-1.4622969614983794
esty,32,lie,truth,False,-4.051948641859406
esty,33,truth,lie,False,0.4009769105377857
esty,34,truth,truth,True,-0.8349894470133873
esty,35,truth,truth,True,-1.4569077643355355
esty,36,truth,truth,True,-1.0108073758316283
esty,37,truth,truth,True,-1.1154787501693404
esty,38,truth,truth,True,-0.5788566531784615
esty,39,truth,lie,False,0.22958054418475682
esty,40,truth,lie,False,2.2347818303677283
esty,41,truth,lie,False,3.0746224905053907
esty,42,truth,lie,False,1.6956830206079068
esty,43,truth,lie,False,3.111218151458277
esty,44,lie,lie,True,2.3728170166860396
esty,45,lie,lie,True,2.289508381150493
esty,46,lie,lie,True,1.696461599169326
esty,47,lie,lie,True,0.4856692287007226
esty,48,lie,lie,True,0.6866164524874089
esty,49,lie,lie,True,1.1474598933571971
esty,50,lie,lie,True,1.3195345853462368
esty,51,lie,lie,True,2.129163677927939
esty,52,lie,lie,True,1.9608539021725644
esty,53,lie,lie,True,0.8839382001340165
esty,54,lie,lie,True,0.22977113844879538
esty,55,truth,lie,False,5.702568286812838
esty,56,truth,lie,False,9.1349416081669
esty,57,truth,lie,False,13.39189920969938
esty,58,truth,lie,False,27.010245733382853
esty,59,truth,lie,False,7.766167494581616
esty,60,truth,lie,False,9.174009799592982
esty,61,truth,lie,False,9.729379621345695
esty,62,truth,lie,False,8.733784134725415
esty,63,truth,lie,False,7.987871665780469
esty,64,truth,lie,False,11.804266053802861
esty,65,truth,lie,False,3.9836335892483605
esty,66,lie,lie,True,4.246423985038457
esty,67,lie,lie,True,4.318321442400663
esty,68,lie,lie,True,3.001509960655869
esty,69,lie,lie,True,1.9295896864422302
esty,70,lie,lie,True,5.710058117787197
esty,71,lie,lie,True,6.563751928534421
esty,72,lie,lie,True,9.201040359202109
esty,73,lie,lie,True,24.546087102982202
esty,74,lie,truth,False,-7.150713694523846
esty,75,lie,lie,True,17.656383043470388
esty,76,lie,truth,False,-11.741458813562378
esty,77,truth,lie,False,0.6657526964945789
esty,78,truth,lie,False,0.10438090952531087
esty,79,truth,truth,True,-0.37632825525417457
esty,80,truth,truth,True,-0.2962574310672713
esty,81,truth,truth,True,-1.7108983123264636
esty,82,truth,truth,True,-1.7145269440241173
esty,83,truth,truth,True,-1.016018612411429
esty,84,truth,truth,True,-1.5499636058449697
esty,85,truth,truth,True,-1.6443701232982457
esty,86,truth,truth,True,-1.1219119449985477
