mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_selector__k,param_svm__C,param_svm__kernel,param_svm__gamma,param_svm__coef0,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.026474738121032716,0.002325506944065937,0.003609752655029297,0.0006936294983392677,8,0.1,poly,scale,0.0,3.0,"{'selector__k': 8, 'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__degree': 3, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5,0.5,0.5267857142857143,0.5,0.4642857142857143,0.5,0.5089285714285714,0.48214285714285715,0.4732142857142857,0.5357142857142857,0.49910714285714286,0.02092031163189282,50
0.026831459999084473,0.0013965741505440386,0.0036799430847167967,0.0004319429443642787,10,0.1,poly,scale,0.0,3.0,"{'selector__k': 10, 'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__degree': 3, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5,0.5,0.5267857142857143,0.5,0.4732142857142857,0.5,0.4642857142857143,0.4642857142857143,0.5178571428571429,0.5357142857142857,0.4982142857142858,0.023555189211201644,51
0.027058124542236328,0.0026651697044171546,0.00416269302368164,0.0007999934761811827,8,0.1,poly,scale,0.0,2.0,"{'selector__k': 8, 'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5267857142857143,0.45535714285714285,0.5089285714285714,0.44642857142857145,0.49107142857142855,0.49107142857142855,0.5178571428571429,0.41964285714285715,0.6160714285714286,0.5089285714285714,0.49821428571428567,0.05110388579019352,52
0.03402276039123535,0.0070509663407796784,0.009215879440307616,0.007184327756402185,10,1.0,rbf,scale,,,"{'selector__k': 10, 'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.4642857142857143,0.48214285714285715,0.49107142857142855,0.49107142857142855,0.3125,0.5535714285714286,0.625,0.5178571428571429,0.4017857142857143,0.6428571428571429,0.49821428571428567,0.09259922973188695,52
0.034445977210998534,0.004792837423118159,0.011450695991516113,0.007273725683553717,10,1.0,rbf,0.1,,,"{'selector__k': 10, 'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.4642857142857143,0.48214285714285715,0.49107142857142855,0.49107142857142855,0.3125,0.5535714285714286,0.625,0.5178571428571429,0.4017857142857143,0.6428571428571429,0.49821428571428567,0.09259922973188695,52
0.06103281974792481,0.016525036985786657,0.016367721557617187,0.005089469220648032,22,0.1,rbf,scale,,,"{'selector__k': 22, 'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5535714285714286,0.4732142857142857,0.5,0.48214285714285715,0.39285714285714285,0.6160714285714286,0.5446428571428571,0.4642857142857143,0.45535714285714285,0.49107142857142855,0.49732142857142864,0.05841906358198425,55
0.030717086791992188,0.006231036934914038,0.011023259162902832,0.006348112285671697,8,1.0,rbf,0.01,,,"{'selector__k': 8, 'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.5,0.5,0.5089285714285714,0.5357142857142857,0.29464285714285715,0.5535714285714286,0.6785714285714286,0.49107142857142855,0.36607142857142855,0.5446428571428571,0.4973214285714286,0.09910714285714287,56
0.04150700569152832,0.006442457089699939,0.013536596298217773,0.004869070964113797,22,0.1,rbf,0.1,,,"{'selector__k': 22, 'svm__C': 0.1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.5267857142857143,0.45535714285714285,0.5,0.5178571428571429,0.41964285714285715,0.6071428571428571,0.5535714285714286,0.4642857142857143,0.4375,0.49107142857142855,0.4973214285714286,0.053875624434091385,56
0.033885955810546875,0.006040861205814374,0.008569478988647461,0.007068214751306948,15,1.0,poly,scale,1.0,3.0,"{'selector__k': 15, 'svm__C': 1, 'svm__coef0': 1.0, 'svm__degree': 3, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5267857142857143,0.5267857142857143,0.4642857142857143,0.5,0.32142857142857145,0.5803571428571429,0.5089285714285714,0.5089285714285714,0.41964285714285715,0.6160714285714286,0.4973214285714286,0.07814923093619264,56
0.0432220458984375,0.006882071611475748,0.01186044216156006,0.005886549623302929,22,1.0,rbf,scale,,,"{'selector__k': 22, 'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.5446428571428571,0.45535714285714285,0.5446428571428571,0.48214285714285715,0.42857142857142855,0.5625,0.45535714285714285,0.48214285714285715,0.44642857142857145,0.5625,0.49642857142857144,0.049261122229049,59
0.028690195083618163,0.0063800659746151445,0.0014000177383422852,0.00143055621097072,4,1.0,poly,scale,0.0,3.0,"{'selector__k': 4, 'svm__C': 1, 'svm__coef0': 0.0, 'svm__degree': 3, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.4732142857142857,0.5,0.5357142857142857,0.5267857142857143,0.3125,0.5,0.5535714285714286,0.5178571428571429,0.45535714285714285,0.5892857142857143,0.49642857142857144,0.07133922984085064,59
0.031980705261230466,0.007880937270752538,0.0026642560958862306,0.004751813248469807,15,1.0,poly,scale,0.0,3.0,"{'selector__k': 15, 'svm__C': 1, 'svm__coef0': 0.0, 'svm__degree': 3, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.44642857142857145,0.5357142857142857,0.5535714285714286,0.5267857142857143,0.36607142857142855,0.5357142857142857,0.5,0.44642857142857145,0.45535714285714285,0.5892857142857143,0.4955357142857143,0.06291317510697435,61
