subject,from_size,to_size,child_rank,n_features,quick_accuracy,quick_std,features
bayu,14,13,9,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_mean, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,10,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_mean, sdnn, sdsd, pnn20, lf_power, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,11,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_mean, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,12,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_mean, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,13,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_mean, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd1_sd2_ratio, dfa"
bayu,14,13,14,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_mean, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,15,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_mean, sdnn, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,16,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_mean, nn_min, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,17,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_mean, nn_min, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd1_sd2_ratio, dfa"
bayu,14,13,18,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1_sd2_ratio, dfa"
bayu,14,13,19,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_mean, nn_min, sdnn, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd1_sd2_ratio, dfa"
bayu,14,13,20,13,0.6590909090909091,0.2361887464866651,"nn_count, nn_mean, nn_min, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,21,13,0.6477272727272727,0.23872653419073833,"nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,22,13,0.6477272727272727,0.23872653419073833,"nn_mean, nn_min, sdnn, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,23,13,0.6477272727272727,0.23872653419073833,"nn_count, nn_mean, nn_min, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,24,13,0.6477272727272727,0.23872653419073833,"nn_count, nn_mean, nn_min, sdsd, pnn20, lf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,25,13,0.6477272727272727,0.23872653419073833,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,26,13,0.6477272727272727,0.23872653419073833,"nn_count, nn_mean, nn_min, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, hf_norm, lf_peak, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,27,13,0.6477272727272727,0.23872653419073833,"nn_count, nn_mean, nn_min, sdnn, pnn20, lf_power, lf_hf_ratio, lf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,28,13,0.6477272727272727,0.23872653419073833,"nn_count, nn_mean, nn_min, sdnn, pnn20, lf_power, lf_hf_ratio, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,29,13,0.6477272727272727,0.24722983139516244,"nn_count, nn_min, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio, dfa"
bayu,14,13,30,13,0.6477272727272727,0.24722983139516244,"nn_count, nn_min, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio"
bayu,14,13,31,13,0.6477272727272727,0.24722983139516244,"nn_count, nn_mean, sdnn, sdsd, pnn20, lf_power, lf_hf_ratio, lf_norm, hf_norm, lf_peak, sd1, sd2, sd1_sd2_ratio"
