subject,stage_size,candidate_rank,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__kernel,param_svm__gamma,param_svm__coef0,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
nathan,4,3,0.006149888038635254,0.0017284056557795848,0.0021166205406188965,0.0007889203301402263,0.1,sigmoid,scale,0.0,,"{'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.5454545454545454,0.8636363636363636,1.0,0.4090909090909091,0.7045454545454546,0.2372796933843307,14
nathan,4,3,0.004594147205352783,0.0005983414425580907,0.002829313278198242,0.0006688287732627131,0.1,sigmoid,0.01,0.0,,"{'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__gamma': 0.01, 'svm__kernel': 'sigmoid'}",0.5,0.5454545454545454,0.5909090909090909,0.36363636363636365,0.5,0.08503766788122594,40
nathan,4,3,0.006558358669281006,0.0038328558908125067,0.002616703510284424,0.0003693144722555322,0.1,sigmoid,0.1,0.0,,"{'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__gamma': 0.1, 'svm__kernel': 'sigmoid'}",0.5,0.5909090909090909,0.5909090909090909,0.4090909090909091,0.5227272727272727,0.07537783614444091,37
nathan,4,3,0.00968557596206665,0.008182479519840195,0.002773582935333252,0.0010624883212426417,0.1,sigmoid,scale,1.0,,"{'svm__C': 0.1, 'svm__coef0': 1.0, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.5,0.9545454545454546,0.5,0.5,0.6136363636363636,0.19682395540555425,20
nathan,4,3,0.004861056804656982,0.0006688056636889272,0.0031023621559143066,0.0007727611491359119,0.1,sigmoid,0.01,1.0,,"{'svm__C': 0.1, 'svm__coef0': 1.0, 'svm__gamma': 0.01, 'svm__kernel': 'sigmoid'}",0.5,0.5454545454545454,0.5454545454545454,0.4090909090909091,0.5,0.05567022142689038,40
nathan,4,3,0.0045722126960754395,0.0003238844824661101,0.00213778018951416,0.00022637523932098942,0.1,sigmoid,0.1,1.0,,"{'svm__C': 0.1, 'svm__coef0': 1.0, 'svm__gamma': 0.1, 'svm__kernel': 'sigmoid'}",0.5,0.8181818181818182,0.5,0.5,0.5795454545454546,0.13777676878388798,24
nathan,4,3,0.005234956741333008,0.0009264949204929752,0.001515507698059082,0.0009431195987507862,1.0,sigmoid,scale,0.0,,"{'svm__C': 1, 'svm__coef0': 0.0, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.9545454545454546,0.9545454545454546,1.0,0.7727272727272727,0.9204545454545454,0.08728574713487056,2
nathan,4,3,0.005276918411254883,0.00035704179265870565,0.0021054744720458984,0.00016519990485510045,1.0,sigmoid,0.01,0.0,,"{'svm__C': 1, 'svm__coef0': 0.0, 'svm__gamma': 0.01, 'svm__kernel': 'sigmoid'}",0.5,0.5454545454545454,0.5909090909090909,0.36363636363636365,0.5,0.08503766788122594,40
nathan,4,3,0.004930973052978516,0.0005563726531826001,0.0027329325675964355,0.0008223280134780596,1.0,sigmoid,0.1,0.0,,"{'svm__C': 1, 'svm__coef0': 0.0, 'svm__gamma': 0.1, 'svm__kernel': 'sigmoid'}",0.6818181818181818,0.9090909090909091,1.0,0.7727272727272727,0.8409090909090908,0.12239010925305692,6
nathan,4,3,0.005065023899078369,0.0012246706004101434,0.0028293728828430176,0.0005932033532419659,1.0,sigmoid,scale,1.0,,"{'svm__C': 1, 'svm__coef0': 1.0, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.5,1.0,1.0,1.0,0.875,0.21650635094610965,4
nathan,4,3,0.004717111587524414,0.00018836689830901241,0.0019254684448242188,0.0007938886714075861,1.0,sigmoid,0.01,1.0,,"{'svm__C': 1, 'svm__coef0': 1.0, 'svm__gamma': 0.01, 'svm__kernel': 'sigmoid'}",0.5,0.5454545454545454,0.5454545454545454,0.4090909090909091,0.5,0.05567022142689038,40
nathan,4,3,0.004403591156005859,0.0006306872887708625,0.0022516846656799316,0.00032612125126745776,1.0,sigmoid,0.1,1.0,,"{'svm__C': 1, 'svm__coef0': 1.0, 'svm__gamma': 0.1, 'svm__kernel': 'sigmoid'}",0.7272727272727273,1.0,0.5,0.7727272727272727,0.75,0.17750567445242396,11
nathan,4,3,0.00392228364944458,0.0008644491921057285,0.0014751553535461426,0.00043510287986134067,10.0,sigmoid,scale,0.0,,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.9545454545454546,1.0,1.0,0.6818181818181818,0.9090909090909091,0.13252163397375685,3
nathan,4,3,0.004239916801452637,0.001329647125574788,0.0018672943115234375,0.0008995731406168284,10.0,sigmoid,0.01,0.0,,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__gamma': 0.01, 'svm__kernel': 'sigmoid'}",0.36363636363636365,0.9090909090909091,0.6818181818181818,0.8181818181818182,0.6931818181818182,0.20674324316659376,15
nathan,4,3,0.00441974401473999,0.0008436807931157964,0.0026917457580566406,0.000713147732650877,10.0,sigmoid,0.1,0.0,,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__gamma': 0.1, 'svm__kernel': 'sigmoid'}",0.8636363636363636,0.5,1.0,0.8636363636363636,0.8068181818181819,0.18568334816327492,7
nathan,4,3,0.005506038665771484,0.0005299076718173164,0.0022724270820617676,0.00044841861731724134,10.0,sigmoid,scale,1.0,,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.5,1.0,1.0,1.0,0.875,0.21650635094610965,4
nathan,4,3,0.005421757698059082,0.001163116754434138,0.0027004480361938477,0.0007000081849268232,10.0,sigmoid,0.01,1.0,,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__gamma': 0.01, 'svm__kernel': 'sigmoid'}",0.4090909090909091,0.6363636363636364,0.5909090909090909,0.5909090909090909,0.5568181818181818,0.08728574713487054,29
nathan,4,3,0.004108428955078125,0.0008463348789653217,0.0028525590896606445,0.0017580048400879958,10.0,sigmoid,0.1,1.0,,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__gamma': 0.1, 'svm__kernel': 'sigmoid'}",0.9545454545454546,1.0,1.0,1.0,0.9886363636363636,0.019682395540555408,1
prayogi,4,1,0.007156848907470703,0.0017779822600454114,0.004524648189544678,0.0017794809075601218,0.01,linear,,,,"{'svm__C': 0.01, 'svm__kernel': 'linear'}",1.0,1.0,0.5,0.6363636363636364,0.7840909090909091,0.22122639015831572,13
prayogi,4,1,0.005133152008056641,0.001432930192991448,0.004268765449523926,0.0013497615983685321,0.1,linear,,,,"{'svm__C': 0.1, 'svm__kernel': 'linear'}",1.0,1.0,0.5,0.5454545454545454,0.7613636363636364,0.2391768770437408,32
prayogi,4,1,0.00564950704574585,0.0011540013559948842,0.0018915534019470215,0.0005567503258838489,1.0,linear,,,,"{'svm__C': 1, 'svm__kernel': 'linear'}",1.0,1.0,0.5,0.5909090909090909,0.7727272727272727,0.22953420314459266,20
prayogi,4,1,0.004767656326293945,0.0010430157368364985,0.0021350979804992676,0.00022497735863254332,10.0,linear,,,,"{'svm__C': 10, 'svm__kernel': 'linear'}",1.0,1.0,0.5,0.5909090909090909,0.7727272727272727,0.22953420314459266,20
prayogi,4,1,0.008656084537506104,0.0028758895253043837,0.0037692785263061523,0.0007592576098013361,100.0,linear,,,,"{'svm__C': 100, 'svm__kernel': 'linear'}",1.0,1.0,0.5,0.5909090909090909,0.7727272727272727,0.22953420314459266,20
prayogi,4,1,0.005896866321563721,0.001202619795759667,0.0036060214042663574,0.00022914080665327767,0.1,rbf,scale,,,"{'svm__C': 0.1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.8181818181818182,1.0,0.5,0.8636363636363636,0.7954545454545455,0.18323313064314886,7
prayogi,4,1,0.005927145481109619,0.0010117824719976915,0.0031571388244628906,0.0007517254431504549,0.1,rbf,0.01,,,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",1.0,1.0,0.5,0.6818181818181818,0.7954545454545454,0.21440866209219553,9
